ug 20 10:29:02 2020    call_gsas.prof

         27734897 function calls (27720644 primitive calls) in 188.165 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    96383    0.340    0.000    0.340    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:418(Values2A)
    28114    0.199    0.000    0.332    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/lib/twodim_base.py:31(_min_int)
    33706    0.225    0.000    0.305    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/_ufunc_config.py:132(geterr)
    14057    0.080    0.000    0.297    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:94(take)
    14048    0.160    0.000    0.290    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/lapack.py:928(_compute_lwork)
    28144    0.256    0.000    0.256    0.000 :0(reduce)
     1406    0.012    0.000    0.256    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:125(cell2Gmat)
    14057    0.063    0.000    0.249    0.000 :0(all)
    42191    0.147    0.000    0.240    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/_asarray.py:86(asanyarray)
   103116    0.236    0.000    0.236    0.000 :0(getattr)
    14057    0.153    0.000    0.231    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/lib/twodim_base.py:152(eye)
    50541    0.230    0.000    0.230    0.000 :0(max)
    75489    0.220    0.000    0.220    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:200(_assert_stacked_square)
    14057    0.089    0.000    0.208    0.000 <__array_function__ internals>:2(where)
   103609    0.205    0.000    0.205    0.000 :0(get)
    14057    0.056    0.000    0.186    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/_methods.py:56(_all)
    67412    0.178    0.000    0.178    0.000 :0(geterrobj)
    75489    0.177    0.000    0.177    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:194(_assert_stacked_2d)
    28114    0.161    0.000    0.161    0.000 :0(arange)
    43867    0.160    0.000    0.160    0.000 :0(min)
56329/56271    0.151    0.000    0.155    0.000 :0(isinstance)
    14057    0.150    0.000    0.150    0.000 :0(outer)
    14057    0.104    0.000    0.145    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/blas.py:370(getter)
    28115    0.137    0.000    0.137    0.000 :0(zeros)
    46875    0.132    0.000    0.132    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:102(get_linalg_error_extobj)
    14057    0.088    0.000    0.126    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/getlimits.py:366(__new__)
    75489    0.118    0.000    0.118    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:473(_unary_dispatcher)
    33706    0.101    0.000    0.101    0.000 :0(seterrobj)
     1406    0.032    0.000    0.098    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:111(fillgmat)
    14057    0.095    0.000    0.095    0.000 :0(take)
    14057    0.093    0.000    0.093    0.000 :0(flatten)
    46875    0.092    0.000    0.092    0.000 :0(__array_prepare__)
    42171    0.089    0.000    0.089    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1915(shape)
    14057    0.047    0.000    0.073    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/sparse/base.py:1188(isspmatrix)
    14057    0.047    0.000    0.070    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/ma/core.py:6374(isMaskedArray)
    28114    0.069    0.000    0.069    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/getlimits.py:509(min)
    42171    0.065    0.000    0.065    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1911(_shape_dispatcher)
    28114    0.065    0.000    0.065    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/getlimits.py:522(max)
     1399    0.025    0.000    0.065    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:131(rancell)
    28114    0.064    0.000    0.064    0.000 :0(transpose)
    14048    0.060    0.000    0.060    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/lapack.py:961(_check_work_float)
    28152    0.049    0.000    0.049    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/multiarray.py:706(dot)
     8436    0.047    0.000    0.047    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:60(<lambda>)
    28114    0.046    0.000    0.046    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:597(_transpose_dispatcher)
    15442    0.045    0.000    0.045    0.000 :0(reverse)
    14087    0.042    0.000    0.042    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
    28114    0.041    0.000    0.041    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/shape_base.py:20(_atleast_1d_dispatcher)
    14057    0.040    0.000    0.040    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:433(A2values)
    14087    0.035    0.000    0.035    0.000 :0(items)
     5596    0.025    0.000    0.034    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:59(ranaxis)
    14057    0.030    0.000    0.030    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2100(_sum_dispatcher)
    14057    0.029    0.000    0.029    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:90(_take_dispatcher)
    14057    0.025    0.000    0.025    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/multiarray.py:311(where)
